Service;Subservice;Area Of Service ;Provinsi;Kab/Kota (Edit);Clnt Id;Clnt Name;Appl Id;Request Reference;Status Simf;Channel;Freq;Freq_Pair;Bwidth;Erp Pwr Dbm;Curr Lic Num;Site Id;Stn Name;Stn Addr;Sid Lat;Sid Long;License Date ;Validity Date ;Ap Id;Tcs Id;Efl Id;Stasiun Lawan;Kab/Kota;NAMA UNIT PELAKSANA TEKNIS;BAND;15 Pita
Land Mobile (private);Standard;BATU DULANG, SUMBAWA, SUMBAWA BESAR, NTB, LOMBOK BARAT, GERUNG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK BARAT;00103494;PLN (PERSERO), PT.;030567062019;0723383;Granted;;357.05;352.05;16;48.0206;02117689-000SU/2620192024;0006;REP. ULP ALAS;BATU DULANG, SUMBAWA, SUMBAWA BESAR, NTB;-8.65583333;116.09111111;03/07/2019;02/07/2029;;;;;LOMBOK BARAT;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;KETEJER, LOMBOK BARAT, GERUNG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK BARAT;00103494;PLN (PERSERO), PT.;039239052019;0709759;Granted;;356.15;351.15;16;48.0206;02110852-000SU/2620192024;0007;REP. MATARAM;KETEJER;-8.65583333;116.09111111;29/05/2019;28/05/2029;;;;;LOMBOK BARAT;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BUKIT KETEJER DESA SUKA MAJU, LOMBOK BARAT, GERUNG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK BARAT;00103494;PLN (PERSERO), PT.;038459022018;0564145;Granted;;355.6;350.6;16;48.0206;02016223-000SU/2620182023;0003;REPEATER CAKRA;BUKIT KETEJER DESA SUKA MAJU;-8.65583333;116.09111111;12/03/2018;11/03/2028;;;;;LOMBOK BARAT;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. RAYA SENGGIGI, DS. BATU LAYAR, LOMBOK BARAT, BATU LAYAR, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK BARAT;00110362;GRAHA SENGGIGI, PT.;036594042017;0432351;Granted;;355.7;350.7;16;48.0206;01937703-000SU/2620172022;0001;REP. GRAHA SENGGIGI;JL. RAYA SENGGIGI, DS. BATU LAYAR;-8.50116667;116.05152778;28/04/2017;27/04/2027;;;;;LOMBOK BARAT;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BUKIT KETEJER DESA SUKA MAKMUR, LOMBOK BARAT, GERUNG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK BARAT;00114775;BALAI WILAYAH SUNGAI NUSA TENGGARA 1;030510062019;0727089;Granted;;167.775;162.775;16;48.53213;02119564-000SU/2620192024;0007;REP. KETEJER;BUKIT KETEJER DESA SUKA MAKMUR;-8.65481389;116.09225278;15/07/2019;14/07/2029;;;;;LOMBOK BARAT;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Broadcast;DVB-T;NUSA TENGGARA BARAT - 1;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;012765092024;3546177;Granted;;2185;;8000;21.85;02924509-000SU/202024;0001;DORNA VIDEO 14;Kuta, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia;-8.8965625;116.2980625;24/09/2024;;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;14. IMT (2170-2200 MHz)
Broadcast;DVB-T;NUSA TENGGARA BARAT - 1;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;012766092024;3546192;Granted;;2195;;8000;21.85;02924512-000SU/202024;0001;DORNA VIDEO 15;Kuta, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia;-8.8965625;116.2980625;24/09/2024;;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;14. IMT (2170-2200 MHz)
Land Mobile (private);Standard;LOT BS 2 KAWASAN EKONOMI KHUSUS MANDALIKA DESA KUTA KEC PUJUT KAB LOMBOK TENGAH NTT, LOMBOK TENGAH, PUJUT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00119240;MERESE MANDALIKA NUSANTARA, PT.;037034122022;1732966;Granted;;350.425;355.425;25;36.0206;02628939-000SU/0620222027;0002;HT. 01-40 BERGERAK SEKITAR KEC PUJUT;LOT BS 2 KAWASAN EKONOMI KHUSUS MANDALIKA DESA KUTA KEC PUJUT KAB LOMBOK TENGAH NTT;-8.89564722;116.29579444;08/12/2022;07/12/2027;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;LOMBOK TENGAH;00115764;PENGEMBANGAN PARIWISATA INDONESIA (PERSERO), PT.;038619072023;2338602;Granted;;350.35;355.35;25;36.0206;02724373-000SU/0620232028;0002;HT.1-53 BERGERAK DI SEKITAR KECAMATAN PUJUT;BUKIT BATIK BANTAR, DESA KUTA;-8.90327778;116.3125;12/07/2023;10/07/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL LOT BS-2 KAWASAN EKONOMI KHUSUS MANDALIKA DESA KUTA KEC PUJUT LOMBOK TENGAH NTB, LOMBOK TENGAH, PUJUT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00119240;MERESE MANDALIKA NUSANTARA, PT.;035580012022;1267446;Granted;;350.2;355.2;16;36.0206;02542740-000SU/0620222027;0002;HT. 01-40 BERGERAK SEKITAR KEC PUJUT NTB;JL LOT BS-2 KAWASAN EKONOMI KHUSUS MANDALIKA DESA KUTA KEC PUJUT LOMBOK TENGAH NTB;-8.89564722;116.29579444;25/02/2022;24/02/2027;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN MAWUN KUTA KECAMATAN PUJUT (SIKARA LOMBOK HOTEL) - LOMBOK TENGAH ,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00124526;LOMBOK PALMS PROJECT, PT.;033616122024;3644578;Granted;;150.175;;16;36.9897;02942197-000SU/2620242029;0001;HT. 01 BERGERAK SEKITAR KECAMATAN PUJUT;JALAN MAWUN KUTA KECAMATAN PUJUT (SIKARA LOMBOK HOTEL) - LOMBOK TENGAH;-8.89;116.27375;30/12/2024;29/12/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN RAYA KUTA DESA KUTA KECAMATAN PUJUT (OLEA VILLAS RESORT),LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00122156;INDONESIAN INVESTORS GROUP, PT.;032665092023;2796746;Granted;;408.6;408.6;16;36.9897;02759669-000SU/2620232028;0001;HT. 01 BERGERAK DISEKITAR DESA KUTA KECAMATAN PUJUT;JALAN RAYA KUTA DESA KUTA KECAMATAN PUJUT (OLEA VILLAS RESORT);-8.87972222;116.26852778;25/09/2023;23/09/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;LOMBOK TENGAH;00123017;SIMA INTAN LESTARI, PT.;030071022024;3061238;Granted;;433.975;433.975;16;36.9897;02822845-000SU/0620242029;0002;HT. 02 - HT. 14 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN RAYA KAWASAN WISATA SIRKUIT MANDALIKA;-8.88961111;116.27602778;07/02/2024;05/02/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;6. Komrad UHF (430 – 460 MHz)
Land Mobile (private);Standard;JALAN PARIWISATA PANTAI KUTA,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00110475;CV. PUTERA SEGARA;038044062023;2291215;Granted;;406.525;406.525;25;36.9897;02707699-000SU/2620232024;0001;HT 01 BERGERAK SEKITAR;JALAN PARIWISATA PANTAI KUTA;-8.894125;116.28305;21/06/2023;20/06/2025;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA SENGKOL, ORIGIN LOMBOK,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,PENGEMBUR;NUSA TENGGARA BARAT;LOMBOK TENGAH;00123996;ORIGIN RESORTS LOMBOK;039142102024;3557037;Granted;;433.925;433.925;16;36.9897;02923350-000SU/2620242029;0001;HT.01 BERGERAK SEKITAR KEC. PUJUT;JALAN RAYA SENGKOL, ORIGIN LOMBOK;-8.88752778;116.30802778;04/10/2024;03/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;6. Komrad UHF (430 – 460 MHz)
Land Mobile (private);Standard;(SEKITAR DE BALEN SOULTAN HOTEL);NUSA TENGGARA BARAT;LOMBOK TENGAH;00121311;POLITEKNIK PARIWISATA LOMBOK SEKRETARIAT KEMENTERIAN;036847062023;2062700;Granted;;167.95;167.95;25;36.9897;02699616-000SU/2620232028;0001;HT 01 BERGERAK SEKITAR;JALAN RADEN PUGUH NO. 1 (SEKITAR DE BALEN SOULTAN HOTEL);-8.69452778;116.25055556;07/06/2023;05/06/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DUSUN TOROK AIK BELEK, KEL. MONTONG AJAN, KEC. PRAYA BARAT DATA, LOMBOK,LOMBOK TENGAH,PRAYA BARAT,NUSA TENGGARA BARAT,SELONG BELANAK;NUSA TENGGARA BARAT;LOMBOK TENGAH;00117644;LOMBOK TOROK DEVELOPMENTS, PT.;035024032021;1084194/1;Granted;;433.7;433.7;12.5;47.9897;02434990-000SU/2620212026;0001;BS. SAMARA LOMBOK;DUSUN TOROK AIK BELEK, KEL. MONTONG AJAN, KEC. PRAYA BARAT DATA, LOMBOK;-8.85761944;116.12866667;14/11/2024;22/03/2026;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;6. Komrad UHF (430 – 460 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PUJUT - LOMBOK TENGAH (RAJA HOTEL KUTA MANDALIKA),LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00124441;SINAR TIGA PILAR, PT.;032833122024;3628134;Granted;;433.6;433.6;25;36.9897;02940327-000SU/2620242029;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PUJUT - LOMBOK TENGAH (RAJA HOTEL KUTA MANDALIKA);-8.89251111;116.28219722;19/12/2024;18/12/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;6. Komrad UHF (430 – 460 MHz)
Land Mobile (private);Standard;JALAN MANDALIKA RESORT PANTAI KUTA PUTRI NYALE (NOVOTEL LOMBOK RESORT AND VILLAS),LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00114801;ISTANA PUTRI MANDALIKA, PT.;030121102024;3572227;Granted;;153.05;153.05;16;36.9897;02929893-000SU/2620242029;0001;HT. 01 BERGERAK SEKITAR KECAMATAN PUJUT;JALAN MANDALIKA RESORT PANTAI KUTA PUTRI NYALE (NOVOTEL LOMBOK RESORT AND VILLAS);-8.90288889;116.29772222;28/10/2024;27/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN RAYA MONTONG AJAN, AMBER LOMBOK BEACH RESORTS, PANTAI TOROK,LOMBOK TENGAH,PRAYA BARAT,NUSA TENGGARA BARAT,SELONG BELANAK;NUSA TENGGARA BARAT;LOMBOK TENGAH;00123996;ORIGIN RESORTS LOMBOK;039152102024;3557138;Granted;;408.2;408.2;16;34.9897;02923342-000SU/2620242029;0001;HT.01 BERGERAK SEKITAR KEC. PRAYA BARAT DAYA;JALAN RAYA MONTONG AJAN, AMBER LOMBOK BEACH RESORTS, PANTAI TOROK;-8.86613889;116.12458333;03/10/2024;02/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038227092024;3543754;Granted;;165.7;165.7;16;36.9897;02927849-000SU/2620242029;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038246092024;3544544;Granted;;407.65;407.65;25;36.9897;02927841-000SU/2620242029;0001;HT. 01 BERGERAK SEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038242092024;3544461;Granted;;407.55;407.55;25;36.9897;02927843-000SU/2620242029;0001;HT. 01 BERGERAK SEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038235092024;3544183;Granted;;407.5;407.5;25;36.9897;02927837-000SU/2620242029;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038247092024;3544546;Granted;;407.7;407.7;25;36.9897;02927840-000SU/0620242029;0002;HT. 02 - HT. 05 BERGERAK SEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038245092024;3544540;Granted;;407.6;407.6;25;36.9897;02927845-000SU/2620242029;0001;HT. 01 BERGERAK SEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT,TANAK AWU;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118780;MGPA NUSANTARA JAYA, PT.;038238092024;3544278;Granted;;407.45;407.45;25;36.9897;02927847-000SU/2620242029;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN RAYA PARIWISATA KUTA PERTAMINA MANDALIKA INTERNATIONAL STREET CIRCUIT;-8.89557222;116.30570556;11/10/2024;10/10/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN ANYELIR NO. 16 LINGKUNGAN DARUL FALAH KECAMATAN PRAYA LOMBOK TENGAH,LOMBOK TENGAH,PRAYA,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00116812;TERUS JAYA HOREKA;039316012024;3046157;Granted;;407.2;407.2;25;36.9897;02818239-000SU/2620242029;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PRAYA;JALAN ANYELIR NO. 16 LINGKUNGAN DARUL FALAH KECAMATAN PRAYA LOMBOK TENGAH;-8.70733333;116.26638889;25/01/2024;23/01/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;LOMBOK TENGAH;00122865;LITTLE HEAD HOSPITALITY, PT.;038533012024;3032047;Granted;;408.3;408.3;25;36.9897;02806176-000SU/0620242029;0002;HT. 02 - HT. 05 BERGERAK DISEKITAR KECAMATAN PRAYA BARAT;JALAN DUSUN SERANGAN DESA SELONG BELANAK KECAMATAN PRAYA BARAT (BONI BEACH);-8.86813889;116.14013889;09/01/2024;07/01/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;LOMBOK TENGAH;00123304;SLOW WATER SUMMER, PT.;032417042024;3216556;Granted;;406.825;406.825;16;36.9897;02849995-000SU/0620242029;0002;HT. 02 - HT. 16 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN DUSUN KUTA I PUJUT (RESTORAN MUNCHIES);-8.86813889;116.14013889;19/04/2024;18/04/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN DUSUN SERANGAN DESA SELONG BELANAK KECAMATAN PRAYA BARAT (SEGARA LOMBOK BEACH),LOMBOK TENGAH,PRAYA BARAT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00122828;SERANGAN INDAH RESORT, PT.;038311012024;3007698;Granted;;406.7;406.7;12.5;36.9897;02805255-000SU/2620242029;0001;HT. 01 BERGERAK SEKITAR KECAMATAN PRAYA BARAT;JALAN DUSUN SERANGAN DESA SELONG BELANAK KECAMATAN PRAYA BARAT (SEGARA LOMBOK BEACH);-8.86813889;116.14013889;04/01/2024;02/01/2029;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA KAWASAN WISATA SIRKUIT MANDALIKA,LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00118832;SEJAHTERA MANDIRI BERSAMA, PT.;034021102023;2816438;Granted;;407.05;407.05;16;36.9897;02760877-000SU/2620232028;0001;HT. 01 BERGERAK DISEKITAR KELURAHAN KUTA KECAMATAN PUJUT;JALAN RAYA KAWASAN WISATA SIRKUIT MANDALIKA;-8.89916667;116.30622222;13/10/2023;11/10/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN PARIWISATA PANTAI KUTA, PUJUT - LOMBOK TENGAH (NATIVO HOTEL),LOMBOK TENGAH,PUJUT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00122639;KUTA BARU PARADISE, PT.;036696112023;2914985;Granted;;406.75;406.75;12.5;36.9897;02789986-000SU/2620232028;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN PARIWISATA PANTAI KUTA, PUJUT - LOMBOK TENGAH (NATIVO HOTEL);-8.89005556;116.28005556;28/11/2023;26/11/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RADEN PUGUH NO. 1 (SEKITAR POLITEKNIK PARIWISATA LOMBOK),LOMBOK TENGAH,JONGGAT,NUSA TENGGARA BARAT;;LOMBOK TENGAH;00121311;POLITEKNIK PARIWISATA LOMBOK SEKRETARIAT KEMENTERIAN;036157052023;1954139;Granted;;167.6;167.6;25;36.9897;02699439-000SU/2620232028;0001;HT 01 BERGERAK SEKITAR;JALAN RADEN PUGUH NO. 1 (SEKITAR POLITEKNIK PARIWISATA LOMBOK);-8.69386111;116.24975;06/06/2023;04/06/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN DUSUN MERENDENG KUTA, LOMBOK TENGAH, PUJUT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00121190;NEMANA SERVICES INDONESIA, PT.;031476022023;1771518;Granted;;406.575;406.575;25;36.9897;02658990-000SU/0620232028;0002;HT 02 - 5 BERGERAK SEKITAR  JALAN DUSUN MERENDENG KUTA;JALAN DUSUN MERENDENG KUTA;-8.87775;116.26961111;17/02/2023;16/02/2028;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. DUSUN TAMPAH, MEKARSARI PRAYA BARAT, LOMBOK TENGAH, PRAYA BARAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00119783;TAMPAH ESTATE MANAGEMENT, PT.;032359052022;1324214;Granted;;153.1;158.15;16;36.9897;02558319-000SU/0620222027;0002;HT. 1-40 BERGERAK SEK. KEC. PRAYA BARAT;JL. DUSUN TAMPAH, MEKARSARI PRAYA BARAT;-8.89333333;116.20583333;25/05/2022;25/05/2027;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN GAJAH MADA NO. 37 LENENG, LOMBOK TENGAH, PRAYA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00114383;CIPTA PERISAI MANDIRI, PT.;034667012022;1257356;Granted;;160.35;160.35;25;36.9897;02536857-000SU/0620222027;0002;HT 02 - 2 BERGERAK SEKITAR  JALAN GAJAH MADA NO. 37 LENENG;JALAN GAJAH MADA NO. 37 LENENG;-8.69588889;116.25419444;14/02/2022;13/02/2027;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN RAYA KUTA DESA PUJUT, LOMBOK TENGAH, PUJUT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00119121;MITRA GRANDE SUKSES, PT.;033970012022;1229488;Granted;;150.6;150.6;25;36.9897;02519012-000SU/0620222027;0001;HT 01 BERGERAK SEKITAR JALAN RAYA KUTA DESA PUJUT;JALAN RAYA KUTA DESA PUJUT;-8.88641667;116.27608333;13/01/2022;12/01/2027;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN DUSUN GERUPUK KECAMATAN PUJUT, LOMBOK TENGAH, PRAYA BARAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK TENGAH;00117801;LOMBOK INVEST AND DEVELOPMENT, PT.;037621052021;1105338;Granted;;406.625;406.625;25;36.9897;02448382-000SU/0620212026;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN PUJUT;JALAN DUSUN GERUPUK KECAMATAN PUJUT;-8.89313889;116.20583333;05/05/2021;04/05/2026;;;;;LOMBOK TENGAH;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
